expand,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
18,0.4893689252898052,0.4577420749927545,0.11631477885348006,0.5412246168170156,0.5412209917389222,0.736439751443233,-0.015803481404088812,43749.74272672031,0.17284531824159102,0.41574669961599336,0.4157491634193752,49970.05975161137,0.1974203810584571,-0.1933999916378124,-0.19349120924781293,0.5505096453852759,0.6199880601176249,27698.532747424146,1.058448268845739,1.028809150836898,1.028868126969873,20626.753394550782,0.7882132826837396
19,0.4781369545004223,0.45054701482122006,0.08562853777159517,0.5339170938908231,0.5339134110713115,0.7312086172009944,0.015954933446964244,44446.6028018457,0.175598454464752,0.4190446926817616,0.41904717602975183,48862.4274178407,0.19304437673721708,-0.3212212894717641,-0.3213222771114088,0.5477354584723539,0.707749680838017,30665.2349668645,1.1718153145654973,1.0825041868581835,1.0825662410407482,21975.933478762654,0.8397697076220969
20,0.47545751175115186,0.4512930277425518,0.09912956636750941,0.5324506053733915,0.532446910966215,0.7298158944564407,0.0067658502917139676,44586.450094664244,0.17615095942423106,0.41970341840903685,0.4197059056607759,48823.40686845899,0.19289021539007561,-0.2952353941697896,-0.29533439557574925,0.5412435277062208,0.6797139373142806,30062.108456862545,1.148767948980188,1.0718059287857051,1.071867369694282,21641.919826773552,0.8270059928454871
21,0.47670142050347514,0.45375723699314824,0.0958786770435127,0.5371068901116378,0.5371032324967489,0.7329097010796023,0.0014439708010199487,44142.41742240713,0.17439668696998253,0.41760829370354047,0.4176107685391249,49122.75298994595,0.19407286407342886,-0.29163065950419087,-0.29172938538200976,0.5414604984533916,0.6826413884737816,29978.443414227637,1.1455708439079688,1.070313432555141,1.0703747879068815,21546.35816777338,0.8233542805523092
22,0.4687792196323278,0.45023396486575146,0.10550882468518717,0.5305468890089291,0.5305431795592706,0.7285712274075407,-0.0020478429345964985,44767.99231384561,0.17686819158819353,0.42055700159216647,0.4205594939024211,49375.48689738619,0.1950713584630946,-0.2736540685313591,-0.2737514203672171,0.5359907525578704,0.6598745226173782,29561.21097142817,1.129627076748373,1.0628391584564303,1.0629000853479622,21356.5682872575,0.8161018108165196
23,0.4653982256532308,0.4510816091890913,0.10334415253189452,0.5287250579905574,0.5287213341454453,0.7272084982147881,-0.006155185491186665,44941.72578182979,0.17755457314592096,0.4213722500900136,0.42137474723160423,49754.32575349634,0.19656806492501963,-0.2932228111453994,-0.29332165871943805,0.5293095886474016,0.6724785359679241,30015.3968788513,1.146982952304303,1.070972899892571,1.071034293048051,21497.96016211183,0.8215048401586545
24,0.46151150853637046,0.45085365738453353,0.11095049932514373,0.5274364889441028,0.5274327549171816,0.7273870519365987,-0.020759941160140398,45064.60631625751,0.17804004628827808,0.42194791892872047,0.4219504194818471,50192.85877499361,0.19830060950553546,-0.23497005901442125,-0.23506445403536547,0.5302450137908926,0.6301832368435664,28663.3642210388,1.0953175215345943,1.04657418348371,1.0466341779911104,20909.336196774628,0.799011662531034
25,0.4542912155632529,0.4514567073866405,0.10376894928649438,0.5297488468369819,0.5297451310814811,0.7279626814909935,-0.005189807320056579,44844.09521951197,0.17716885692081452,0.42091431066288837,0.42091680509063256,49198.29437736023,0.1943713109746962,-0.28377594286304797,-0.2838740683650629,0.5288567168968727,0.6619738825695074,29796.13729085648,1.1386043521287204,1.0670540530491979,1.0671152215581219,21368.559258265013,0.8165600236258556
26,0.44817815357966656,0.44631338095439427,0.10694887933124338,0.5275921231283518,0.5275883903311958,0.7274268942630238,-0.022307616037940292,45049.76472760707,0.1779814105351602,0.4218784309906827,0.421880931132009,50645.72014132467,0.20008976212916924,-0.2323493822846514,-0.23244357699399054,0.5367941654763927,0.639230005867291,28602.5389313381,1.092993195434984,1.0454631487694743,1.0455230795871893,20921.74695648624,0.7994859167903337
27,0.4464766888595606,0.4475557942575702,0.12016598528143566,0.5278074888730757,0.5278037577776624,0.7283326645959027,-0.024929671888179294,45029.22701728247,0.17790027069625455,0.4217822550751211,0.4217847546464885,51012.00610161583,0.20153687494465294,-0.20571797888061294,-0.20581013801681114,0.5324338124219672,0.6107836406581294,27984.430330311614,1.0693733169135853,1.0341050802087695,1.0341643599290857,20601.029234115587,0.7872302814060754
28,0.4356885987650565,0.44362113824184507,0.10110069715051387,0.5119018620960728,0.5118980053201168,0.7163227234490492,9.24517545917615e-05,46546.01955870672,0.1838927742674544,0.42882720793747964,0.42882974925873635,50763.970696167235,0.20055694327150597,-0.3009988382513764,-0.3010982801865787,0.5211731852659774,0.663993690660963,30195.87663664345,1.1538796528963067,1.0741879039052278,1.074249481359714,21492.613627179475,0.8213005322014397
29,0.4186841070438363,0.4391966080955316,0.08280093135893904,0.5083804698894644,0.5083765852887334,0.7137131287007822,0.017455586280404698,46881.82659789434,0.18521947177328227,0.43037131848356514,0.4303738689555494,50335.11875642761,0.19886264645093182,-0.3796864287347992,-0.37979188516136286,0.5156994326494795,0.7141733976547145,32022.19707999265,1.223669115365228,1.1061957852772843,1.1062591975726317,22289.803822373975,0.8517636830744001
30,0.42633336580391995,0.4477695086114206,0.11084787314402449,0.5226712921344173,0.5226675204546245,0.7237405218314787,-0.00979964777299455,45519.02506257395,0.17983535176727555,0.4240699845158527,0.42407249764479144,51321.84114516687,0.20276096298191285,-0.2448003310350193,-0.24489547743347795,0.5268286183150785,0.6374354230061339,28891.522519502636,1.1040361694945406,1.050731254648181,1.0507914874582651,20973.852190560574,0.8014770220704106
31,0.4160434605644658,0.4439015356777117,0.09964252982328976,0.5158039238225729,0.5158000978793054,0.7185783409823421,-0.00560449669682785,46173.911108917135,0.1824226581155488,0.4271096558444316,0.42711218698710923,50470.79598433367,0.19939867642902898,-0.30362305452035354,-0.3037226970377058,0.5185457661676701,0.6671222321181158,30256.784078215136,1.1562071182779294,1.0752707185997066,1.0753323581261753,21553.518095563893,0.8236278839682026
