kernel_size,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
75,0.29203590386563216,0.1937030983239899,0.2538571595842324,-0.6785141144475206,-0.6785273774624268,0.557639589288496,-0.5639736144076458,160066.4799422398,0.6323863854067906,0.7952272539386402,0.795231966624512,163161.08772194473,0.6446124793945232,0.36184375493250864,0.3617949774162611,0.6146301874845932,0.11748285942664843,14811.456155380773,0.5659924397333017,0.752324690365338,0.7523678171211053,14975.000494656682,0.5722419845869801
77,0.27125380301878377,0.1599209330436654,0.2589012628989907,-0.8353883323328604,-0.8354028349114211,0.5812900062576517,-0.6469936405285781,175026.32069334053,0.6914893257742154,0.8315583718382104,0.8315632998300155,181701.14186822233,0.7178600314806406,0.36142947040899653,0.36138066122688306,0.61279987456976,0.11180517516950156,14821.071601602907,0.5663598762506366,0.7525688515017324,0.7526119922539534,14895.862201780583,0.5692178608957386
79,0.3017931539562613,0.2088774696442508,0.25252437852550075,-0.5621573724837963,-0.5621697160895713,0.5675229002648666,-0.5291154071212336,148970.46713938835,0.5885485535799473,0.7671691818497061,0.767173728257474,155000.33504570922,0.6123711950919907,0.3530488107729629,0.35299936101455687,0.6106767133431531,0.12930387793938422,15015.584738020156,0.5737928364866887,0.7574911461440911,0.7575345690651702,15098.883762936057,0.5769759548678228
81,0.280309340409736,0.1755927730773624,0.2631406050212468,-0.7535012580294229,-0.7535151135657707,0.5660128703293187,-0.6101772060847794,167217.40468619452,0.6606380684123601,0.8127964495569355,0.8128012663615981,173491.01149237007,0.6854236670776922,0.3593374177519304,0.35928844866362886,0.6194741143211289,0.14711614642692902,14869.627651072587,0.5682153559965069,0.7538006075856578,0.7538438189478754,14931.082113718741,0.5705637247781246
83,0.31992615479235714,0.23490239034213908,0.25354150366872896,-0.4666074515577252,-0.46661904016238687,0.5350008389411944,-0.4040677044758218,139858.6346145664,0.5525497683446907,0.7433369144235276,0.7433413195962091,148487.95534138623,0.5866422588206398,0.3148836599155357,0.31483129300121293,0.5857269256999916,0.14104509227014356,15901.38890111891,0.6076422064702094,0.7795140835611691,0.7795587689396094,15339.133361701122,0.5861566495357531
85,0.31283435156224343,0.22628606765888584,0.25330269423881435,-0.4078627214100352,-0.4078738458349651,0.5586998749929304,-0.45951639111112297,134256.6190646493,0.5304174745260032,0.7282976551699196,0.7283019712167517,145870.355236913,0.5763007140505817,0.2653499021866359,0.26529374915615256,0.5701573572005647,0.19978086483948532,17051.05575227569,0.6515746017148416,0.807201710673882,0.8072479832360843,15761.98749316198,0.602315239144101
87,0.3065755961266686,0.21567081833235807,0.2526884596031823,-0.5429361584588199,-0.5429483501854742,0.5706499684037838,-0.5219987822906891,147137.49353331956,0.5813068902803846,0.7624348433016324,0.762439361652703,152751.49808314914,0.603486549920586,0.3560658671550718,0.35601664800557664,0.6108170682574715,0.11955578884862018,14945.559569940375,0.5711169540272986,0.7557228023735281,0.7557661239249049,15099.458248976789,0.576997907790775
89,0.31652850316591,0.23028445403633033,0.2487682287801332,-0.47262150775026,-0.4726331438758309,0.5420093671580686,-0.43631681313975984,140432.14710196934,0.5548155862037782,0.7448594405683385,0.7448638547638339,145712.21089515317,0.5756759215975077,0.3169585947287804,0.3169063864122421,0.5886689361202977,0.14683157306774505,15853.230152772907,0.6058019088529523,0.7783327751373138,0.7783773927976524,15368.334599261094,0.5872725208934653
91,0.2956638697716528,0.1993093078399689,0.2553958142247024,-0.6274454305183554,-0.6274582900068864,0.5604593421463239,-0.5469610231421838,155196.46758937195,0.6131460703212847,0.7830364425244106,0.7830410829649408,160337.4880421686,0.6334570769893867,0.3592930014312292,0.35924402894796315,0.611928552004363,0.11590845219223138,14870.658543415535,0.5682547496433007,0.75382673715072,0.753869950010806,15003.651124778542,0.5733368154984348
93,0.29368943020025456,0.19628208281621834,0.25357762087784896,-0.6421484270688691,-0.6421614027351914,0.5734150449807213,-0.5710631453788514,156598.5748949858,0.6186854785176137,0.7865656225119514,0.786570283867153,163188.56871936264,0.6447210505871348,0.36383580698229767,0.36378718172868474,0.6172740144865895,0.12347440664044616,14765.221096454707,0.56422565235411,0.7511495539199301,0.7511926133114024,14991.774086336181,0.572882956411639
95,0.3072381191028701,0.2172814529416876,0.24859242420788116,-0.5115851922422086,-0.5115971362448024,0.5505543021666242,-0.4856345013253053,144147.80237618904,0.5694952980905479,0.7546491225003498,0.7546535947115828,149012.44636705614,0.5887144039944536,0.3013176317151708,0.3012642278805544,0.5766219867170765,0.15009707061087035,16216.253220704362,0.6196741648784578,0.7871938547006435,0.7872389803193398,15500.157146528729,0.5923098760567361
97,0.279330467979182,0.1735067824517193,0.26403092010369256,-0.7514033834808798,-0.7514172224405773,0.5749787695565673,-0.6104257002432941,167017.34715230143,0.6598476864362105,0.8123100925362251,0.8123149064586324,173552.159572738,0.6856652492848626,0.3786752025878789,0.37862771158448427,0.625455680757772,0.10484922395426781,14420.802219285899,0.5510643211160495,0.7423370670497665,0.7423796212684405,14838.634122304386,0.5670309955406926
99,0.29529833789873,0.1991372385051767,0.25757941580042254,-0.6325743826210892,-0.6325872826367553,0.5590645208954356,-0.5523772359127485,155685.57477162025,0.6150784219489965,0.7842693554825386,0.7842740032295732,160405.8985173723,0.6337273512726321,0.3395972063296888,0.33954672839697686,0.6005858074998474,0.1341862081504889,15327.793309151362,0.5857233103730124,0.7653256237530613,0.765369495782892,15148.547730024122,0.5788737716391197
101,0.302359092847768,0.20946568174862168,0.25715991165578617,-0.5697489969032101,-0.5697614004952714,0.5660530292317417,-0.5310413332517084,149694.4197039779,0.5914087260888446,0.7690310306410559,0.7690355880825359,154700.5068036761,0.6111866416596256,0.35319928546482227,0.3531498472079596,0.6101681353613742,0.12826613208867615,15012.092255860485,0.5736593777316857,0.7574030484040091,0.7574464662749155,15091.052295847934,0.5766766898180264
